zipcode,population
ZCTA 00601,18570
ZCTA 00602,41520
ZCTA 00603,54689
ZCTA 00606,6615
ZCTA 00610,29016
ZCTA 00612,67010
ZCTA 00616,11017
ZCTA 00617,24597
ZCTA 00622,7853
ZCTA 00623,43061
ZCTA 00624,26241
ZCTA 00627,35159
ZCTA 00631,1852
ZCTA 00637,25287
ZCTA 00638,18941
ZCTA 00641,31191
ZCTA 00646,38199
ZCTA 00647,6172
ZCTA 00650,14998
ZCTA 00652,4715
ZCTA 00653,13307
ZCTA 00656,21481
ZCTA 00659,41953
ZCTA 00660,17250
ZCTA 00662,43282
ZCTA 00664,16784
ZCTA 00667,25968
ZCTA 00669,29744
ZCTA 00670,9807
ZCTA 00674,44457
ZCTA 00676,40316
ZCTA 00677,15272
ZCTA 00678,27819
ZCTA 00680,58140
ZCTA 00682,32615
ZCTA 00683,33772
ZCTA 00685,42831
ZCTA 00687,32610
ZCTA 00688,13543
ZCTA 00690,6255
ZCTA 00692,37511
ZCTA 00693,61038
ZCTA 00694,328
ZCTA 00698,41782
ZCTA 00703,28605
ZCTA 00704,8577
ZCTA 00705,25598
ZCTA 00707,12225
ZCTA 00714,19566
ZCTA 00715,3656
ZCTA 00716,33779
ZCTA 00717,18457
ZCTA 00718,26606
ZCTA 00719,30990
ZCTA 00720,23129
ZCTA 00723,19277
ZCTA 00725,89374
ZCTA 00727,58382
ZCTA 00728,44908
ZCTA 00729,53750
ZCTA 00730,35742
ZCTA 00731,15524
ZCTA 00735,13730
ZCTA 00736,51532
ZCTA 00738,34922
ZCTA 00739,39678
ZCTA 00740,2071
ZCTA 00741,4971
ZCTA 00745,55062
ZCTA 00751,23129
ZCTA 00754,40828
ZCTA 00757,23263
ZCTA 00765,9098
ZCTA 00766,26488
ZCTA 00767,38019
ZCTA 00769,40248
ZCTA 00771,38394
ZCTA 00772,23105
ZCTA 00773,20068
ZCTA 00775,1786
ZCTA 00777,40684
ZCTA 00778,45429
ZCTA 00780,13800
ZCTA 00782,19304
ZCTA 00783,36557
ZCTA 00784,44637
ZCTA 00786,357
ZCTA 00791,53417
ZCTA 00794,30585
ZCTA 00795,48736
ZCTA 00901,7080
ZCTA 00906,4
ZCTA 00907,17458
ZCTA 00909,6230
ZCTA 00911,8623
ZCTA 00912,6801
ZCTA 00913,9312
ZCTA 00915,32820
ZCTA 00917,21053
ZCTA 00918,18056
ZCTA 00920,17893
ZCTA 00921,37763
ZCTA 00923,29086
ZCTA 00924,56691
ZCTA 00925,8696
ZCTA 00926,108862
ZCTA 00927,14936
ZCTA 00934,288
ZCTA 00936,681
ZCTA 00949,82278
ZCTA 00950,9
ZCTA 00951,35
ZCTA 00952,10008
ZCTA 00953,73014
ZCTA 00956,79304
ZCTA 00957,45680
ZCTA 00959,50560
ZCTA 00960,1779
ZCTA 00961,32429
ZCTA 00962,22491
ZCTA 00965,9134
ZCTA 00966,16676
ZCTA 00968,3478
ZCTA 00969,42219
ZCTA 00971,30986
ZCTA 00976,65136
ZCTA 00979,17030
ZCTA 00982,16428
ZCTA 00983,39234
ZCTA 00985,36553
ZCTA 00987,63661
ZCTA 01001,16769
ZCTA 01002,29049
ZCTA 01003,10372
ZCTA 01005,5079
ZCTA 01007,14649
ZCTA 01008,1263
ZCTA 01009,741
ZCTA 01010,3609
ZCTA 01011,1370
ZCTA 01012,661
ZCTA 01013,23188
ZCTA 01020,29668
ZCTA 01022,2451
ZCTA 01026,946
ZCTA 01027,17660
ZCTA 01028,15720
ZCTA 01029,789
ZCTA 01030,11669
ZCTA 01031,1308
ZCTA 01032,570
ZCTA 01033,6227
ZCTA 01034,2021
ZCTA 01035,5250
ZCTA 01036,5109
ZCTA 01037,838
ZCTA 01038,2545
ZCTA 01039,1336
ZCTA 01040,39880
ZCTA 01050,2530
ZCTA 01053,1685
ZCTA 01054,1851
ZCTA 01056,21103
ZCTA 01057,8534
ZCTA 01060,15284
ZCTA 01062,11150
ZCTA 01063,430
ZCTA 01066,64
ZCTA 01068,1902
ZCTA 01069,8469
ZCTA 01070,629
ZCTA 01071,1596
ZCTA 01072,1478
ZCTA 01073,5792
ZCTA 01074,319
ZCTA 01075,17527
ZCTA 01077,9502
ZCTA 01079,692
ZCTA 01080,2334
ZCTA 01081,1698
ZCTA 01082,10322
ZCTA 01083,2888
ZCTA 01084,176
ZCTA 01085,41117
ZCTA 01086,687
ZCTA 01088,670
ZCTA 01089,28391
ZCTA 01092,1394
ZCTA 01093,325
ZCTA 01094,351
ZCTA 01095,14319
ZCTA 01096,2217
ZCTA 01097,111
ZCTA 01098,1101
ZCTA 01103,2479
ZCTA 01104,22865
ZCTA 01105,12350
ZCTA 01106,16021
ZCTA 01107,11611
ZCTA 01108,26688
ZCTA 01109,30250
ZCTA 01118,14071
ZCTA 01119,14152
ZCTA 01128,2631
ZCTA 01129,7019
ZCTA 01151,8698
ZCTA 01199,0
ZCTA 01201,46504
ZCTA 01220,8603
ZCTA 01222,829
ZCTA 01223,2314
ZCTA 01224,182
ZCTA 01225,3117
ZCTA 01226,6945
ZCTA 01229,95
ZCTA 01230,8430
ZCTA 01235,2766
ZCTA 01236,1509
ZCTA 01237,2496
ZCTA 01238,6047
ZCTA 01240,4534
ZCTA 01242,476
ZCTA 01243,334
ZCTA 01244,151
ZCTA 01245,985
ZCTA 01247,16087
ZCTA 01253,731
ZCTA 01254,972
ZCTA 01255,915
ZCTA 01256,692
ZCTA 01257,2121
ZCTA 01258,374
ZCTA 01259,635
ZCTA 01260,240
ZCTA 01262,1238
ZCTA 01264,137
ZCTA 01266,1463
ZCTA 01267,7989
ZCTA 01270,778
ZCTA 01301,17700
ZCTA 01330,1506
ZCTA 01331,13263
ZCTA 01337,2596
ZCTA 01338,187
ZCTA 01339,1438
ZCTA 01340,1701
ZCTA 01341,1833
ZCTA 01342,1492
ZCTA 01343,75
ZCTA 01344,1498
ZCTA 01346,533
ZCTA 01347,166
ZCTA 01349,1091
ZCTA 01350,121
ZCTA 01351,2270
ZCTA 01354,1500
ZCTA 01355,878
ZCTA 01360,3032
ZCTA 01364,7969
ZCTA 01366,1277
ZCTA 01367,522
ZCTA 01368,1261
ZCTA 01370,4084
ZCTA 01373,4600
ZCTA 01375,3684
ZCTA 01376,5247
ZCTA 01378,774
ZCTA 01379,813
ZCTA 01420,40337
ZCTA 01430,6089
ZCTA 01431,3074
ZCTA 01432,7089
ZCTA 01434,1795
ZCTA 01436,3336
ZCTA 01438,559
ZCTA 01440,20347
ZCTA 01450,10646
ZCTA 01451,4747
ZCTA 01452,4382
ZCTA 01453,40883
ZCTA 01460,8924
ZCTA 01462,10086
ZCTA 01463,11497
ZCTA 01464,7211
ZCTA 01467,316
ZCTA 01468,4021
ZCTA 01469,6801
ZCTA 01473,7277
ZCTA 01474,2125
ZCTA 01475,10270
ZCTA 01501,16075
ZCTA 01503,2866
ZCTA 01504,9026
ZCTA 01505,4355
ZCTA 01506,3390
ZCTA 01507,12981
ZCTA 01510,13606
ZCTA 01515,2183
ZCTA 01516,8500
ZCTA 01518,2974
ZCTA 01519,6595
ZCTA 01520,13997
ZCTA 01521,2481
ZCTA 01522,3310
ZCTA 01523,7582
ZCTA 01524,6696
ZCTA 01525,290
ZCTA 01527,13246
ZCTA 01529,3190
ZCTA 01531,999
ZCTA 01532,14155
ZCTA 01534,5631
ZCTA 01535,4680
ZCTA 01536,6888
ZCTA 01537,2248
ZCTA 01540,11291
ZCTA 01541,3413
ZCTA 01542,2202
ZCTA 01543,7973
ZCTA 01545,35299
ZCTA 01550,16719
ZCTA 01560,4527
ZCTA 01561,330
ZCTA 01562,11688
ZCTA 01564,7808
ZCTA 01566,6294
ZCTA 01568,7480
ZCTA 01569,13569
ZCTA 01570,16767
ZCTA 01571,11390
ZCTA 01581,18272
ZCTA 01583,7591
ZCTA 01585,4554
ZCTA 01588,9733
ZCTA 01590,8875
ZCTA 01602,22819
ZCTA 01603,19916
ZCTA 01604,34677
ZCTA 01605,26221
ZCTA 01606,19077
ZCTA 01607,8351
ZCTA 01608,3888
ZCTA 01609,22421
ZCTA 01610,23945
ZCTA 01611,2242
ZCTA 01612,4845
ZCTA 01701,31217
ZCTA 01702,37206
ZCTA 01718,469
ZCTA 01719,4996
ZCTA 01720,21361
ZCTA 01721,16593
ZCTA 01730,13221
ZCTA 01731,1396
ZCTA 01740,4897
ZCTA 01741,4852
ZCTA 01742,17726
ZCTA 01745,397
ZCTA 01746,13547
ZCTA 01747,5911
ZCTA 01748,14925
ZCTA 01749,19063
ZCTA 01752,38499
ZCTA 01754,10106
ZCTA 01756,5839
ZCTA 01757,28061
ZCTA 01760,32786
ZCTA 01770,4119
ZCTA 01772,9370
ZCTA 01773,5112
ZCTA 01775,6590
ZCTA 01776,17659
ZCTA 01778,13109
ZCTA 01801,38903
ZCTA 01803,24487
ZCTA 01810,33201
ZCTA 01821,30310
ZCTA 01824,24911
ZCTA 01826,29422
ZCTA 01827,3179
ZCTA 01830,25137
ZCTA 01832,22060
ZCTA 01833,8183
ZCTA 01834,6459
ZCTA 01835,13682
ZCTA 01840,4733
ZCTA 01841,47225
ZCTA 01843,24425
ZCTA 01844,47249
ZCTA 01845,28352
