GEO.display-label,GCT_STUB.display-label,HD01
Alabama,ZCTA 30165 (part),70
Alabama,ZCTA 31905 (part),9
Alabama,ZCTA 35004,10427
Alabama,ZCTA 35005,7942
Alabama,ZCTA 35006,3121
Alabama,ZCTA 35007,26225
Alabama,ZCTA 35010,20816
Alabama,ZCTA 35013,124
Alabama,ZCTA 35014,4546
Alabama,ZCTA 35016,16778
Alabama,ZCTA 35019,2117
Alabama,ZCTA 35020,27139
Alabama,ZCTA 35022,18888
Alabama,ZCTA 35023,25436
Alabama,ZCTA 35031,7933
Alabama,ZCTA 35032,66
Alabama,ZCTA 35033,3403
Alabama,ZCTA 35034,5541
Alabama,ZCTA 35035,1581
Alabama,ZCTA 35036,297
Alabama,ZCTA 35040,14965
Alabama,ZCTA 35042,5831
Alabama,ZCTA 35043,9234
Alabama,ZCTA 35044,7713
Alabama,ZCTA 35045,14870
Alabama,ZCTA 35046,5108
Alabama,ZCTA 35049,3996
Alabama,ZCTA 35051,8787
Alabama,ZCTA 35052,277
Alabama,ZCTA 35053,2617
Alabama,ZCTA 35054,4101
Alabama,ZCTA 35055,19427
Alabama,ZCTA 35057,12630
Alabama,ZCTA 35058,9936
Alabama,ZCTA 35060,414
Alabama,ZCTA 35061,1465
Alabama,ZCTA 35062,7944
Alabama,ZCTA 35063,3866
Alabama,ZCTA 35064,11458
Alabama,ZCTA 35068,7232
Alabama,ZCTA 35070,265
Alabama,ZCTA 35071,15661
Alabama,ZCTA 35072,5193
Alabama,ZCTA 35073,2382
Alabama,ZCTA 35074,93
Alabama,ZCTA 35077,13142
Alabama,ZCTA 35078,2082
Alabama,ZCTA 35079,8810
Alabama,ZCTA 35080,15881
Alabama,ZCTA 35082,7
Alabama,ZCTA 35083,3268
Alabama,ZCTA 35085,8933
Alabama,ZCTA 35087,2115
Alabama,ZCTA 35089,2238
Alabama,ZCTA 35091,2719
Alabama,ZCTA 35094,14212
Alabama,ZCTA 35096,7815
Alabama,ZCTA 35097,1748
